,Coordenadas UTM,,Coordenadas Geográficas,,
LOCAL,X,Y,Longitude (X),Latitude (Y),NOME ARQUIVO
Pedreira Lageado,355266,7394273," 46°25'5.01""O"," 23°33'19.65""S",pedreira_lageado
CEU Jambeiro ,354777,7396069,"46°25'21.63""O"," 23°32'21.11""S",ceu_jambeiro
Pedreiros,355000,7396147," 46°25'13.75""O"," 23°32'18.64""S",pedreiros
Feira - pagar,355760,7396121," 46°24'46.96""O"," 23°32'19.73""S",feira_pagar
Feira - lutar,355840,7396154," 46°24'44.13""O"," 23°32'18.67""S",feira_lutar
Nos trilhos,355501,7395730," 46°24'56.20""O","23°32'32.35""S",nos_trilhos
EE Guerra Junqueiro,357749,7393279," 46°23'37.79""O"," 23°33'52.73""S",ee_gerra_junqueiro
EE Cosme de Faria Major,355120,7396136," 46°25'9.50""O"," 23°32'19.04""S",ee_cosme_de_faria_major
Varzea,354731,7396202," 46°25'23.19""O"," 23°32'16.77""S",varzea
